Farm,Type,Round,Date,Species,,,,,,
Farm1,ELS,3,11/08/2013,Bombus pascuorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus pascuorum,,,,,,
Farm1,ELS,3,11/08/2013,Bombus pascuorum,,,,,,
Farm1,ELS,2,26/06/2014,Bombus pascuorum,,,,,,
Farm1,ELS,2,26/06/2014,Bombus pascuorum,,,,,,
Farm1,ELS,3,05/08/2014,Bombus pascuorum,,,,,,
Farm1,ELS,3,05/08/2014,Bombus pascuorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus pratorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus pratorum,,,,,,
Farm1,ELS,2,02/07/2013,Bombus pratorum,,,,,,
Farm1,ELS,3,05/08/2014,Bombus rupestris,,,,,,
Farm1,ELS,1,01/06/2013,Bombus terrestris,,,,,,
Farm1,ELS,2,02/07/2013,Bombus terrestris,,,,,,
Farm1,ELS,2,02/07/2013,Bombus terrestris,,,,,,
Farm1,ELS,2,02/07/2013,Bombus terrestris,,,,,,
Farm1,ELS,2,02/07/2013,Bombus terrestris,,,,,,
Farm1,ELS,2,02/07/2013,Bombus terrestris,,,,,,
Farm1,ELS,2,02/07/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,3,11/08/2013,Bombus terrestris,,,,,,
Farm1,ELS,1,19/05/2014,Bombus terrestris,,,,,,
Farm1,ELS,2,26/06/2014,Bombus terrestris,,,,,,
Farm1,ELS,2,26/06/2014,Bombus terrestris,,,,,,
Farm1,ELS,2,26/06/2014,Bombus terrestris,,,,,,
Farm1,ELS,2,26/06/2014,Bombus terrestris,,,,,,
Farm1,ELS,3,05/08/2014,Bombus terrestris,,,,,,
Farm1,ELS,3,05/08/2014,Bombus terrestris,,,,,,
Farm1,ELS,3,05/08/2014,Bombus terrestris,,,,,,
Farm1,ELS,3,05/08/2014,Bombus terrestris,,,,,,
Farm1,ELS,2,26/06/2014,Colletes daviesanus,,,,,,
Farm1,ELS,3,05/08/2014,Halictus tumulorum,,,,,,
Farm1,ELS,3,05/08/2014,Halictus tumulorum,,,,,,
Farm1,ELS,3,05/08/2014,Lasioglossum leucozonium,,,,,,
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,,,,,,
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,,,,,,
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,,,,,,
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,,,,,,
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,,,,,,
Farm1,ELS,3,05/08/2014,Lasioglossum malachurum,,,,,,
Farm1,ELS,3,05/08/2014,Lasioglossum morio,,,,,,
Farm1,ELS,3,05/08/2014,Lasioglossum pauxillum,,,,,,
Farm1,ELS,3,05/08/2014,Lasioglossum villosulum,,,,,,
Farm1,ELS,2,26/06/2014,Megachile centuncularis,,,,,,
Farm1,ELS,1,19/05/2014,Nomada flava/panzeri,,,,,,
Farm2,HLS,3,04/08/2014,Andrena flavipes,,,,,,
Farm2,HLS,3,04/08/2014,Andrena flavipes,,,,,,
Farm2,HLS,3,04/08/2014,Andrena flavipes,,,,,,
Farm2,HLS,1,18/05/2014,Andrena haemorrhoa,,,,,,
Farm2,HLS,1,18/05/2014,Andrena haemorrhoa,,,,,,
Farm2,HLS,3,04/08/2014,Andrena minutula,,,,,,
Farm2,HLS,1,01/06/2013,Andrena nitida,,,,,,
Farm2,HLS,2,23/06/2014,Andrena wilkella,,,,,,
Farm2,HLS,2,27/06/2013,Bombus barbutellus,,,,,,
Farm2,HLS,3,09/08/2013,Bombus barbutellus,,,,,,
Farm2,HLS,1,01/06/2013,Bombus hortorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus hortorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus hortorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus hortorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus hortorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus hortorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus hortorum,,,,,,
Farm2,HLS,1,18/05/2014,Bombus hortorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus hypnorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus hypnorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,27/06/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,3,09/08/2013,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lapidarius,,,,,,
Farm2,HLS,3,04/08/2014,Bombus lapidarius,,,,,,
Farm2,HLS,3,04/08/2014,Bombus lapidarius,,,,,,
Farm2,HLS,3,04/08/2014,Bombus lapidarius,,,,,,
Farm2,HLS,3,04/08/2014,Bombus lapidarius,,,,,,
Farm2,HLS,3,04/08/2014,Bombus lapidarius,,,,,,
Farm2,HLS,3,04/08/2014,Bombus lapidarius,,,,,,
Farm2,HLS,3,04/08/2014,Bombus lapidarius,,,,,,
Farm2,HLS,2,23/06/2014,Bombus lucorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus lucorum,,,,,,
Farm2,HLS,1,01/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,3,09/08/2013,Bombus pascuorum,,,,,,
Farm2,HLS,1,18/05/2014,Bombus pascuorum,,,,,,
Farm2,HLS,1,18/05/2014,Bombus pascuorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus pascuorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus pascuorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus pascuorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus pascuorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus pascuorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus pascuorum,,,,,,
Farm2,HLS,2,23/06/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,3,04/08/2014,Bombus pascuorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pratorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pratorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pratorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus pratorum,,,,,,
Farm2,HLS,2,27/06/2013,Bombus terrestris,,,,,,
Farm2,HLS,3,09/08/2013,Bombus terrestris,,,,,,
Farm2,HLS,3,09/08/2013,Bombus terrestris,,,,,,
Farm2,HLS,3,09/08/2013,Bombus terrestris,,,,,,
Farm2,HLS,3,09/08/2013,Bombus terrestris,,,,,,
Farm2,HLS,3,09/08/2013,Bombus terrestris,,,,,,
Farm2,HLS,3,09/08/2013,Bombus terrestris,,,,,,
Farm2,HLS,1,18/05/2014,Bombus terrestris,,,,,,
Farm2,HLS,1,18/05/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,23/06/2014,Bombus terrestris,,,,,,
Farm2,HLS,3,04/08/2014,Bombus terrestris,,,,,,
Farm2,HLS,3,04/08/2014,Bombus terrestris,,,,,,
Farm2,HLS,3,04/08/2014,Bombus terrestris,,,,,,
Farm2,HLS,3,04/08/2014,Bombus terrestris,,,,,,
Farm2,HLS,3,04/08/2014,Bombus terrestris,,,,,,
Farm2,HLS,2,27/06/2013,Bombus vestalis,,,,,,
Farm2,HLS,2,27/06/2013,Bombus vestalis,,,,,,
Farm2,HLS,3,09/08/2013,Lasioglossum calceatum,,,,,,
Farm2,HLS,1,18/05/2014,Lasioglossum calceatum,,,,,,
Farm2,HLS,3,04/08/2014,Lasioglossum calceatum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,3,04/08/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,3,04/08/2014,Lasioglossum malachurum,,,,,,
Farm2,HLS,2,23/06/2014,Lasioglossum morio,,,,,,
Farm2,HLS,1,01/06/2013,Lasioglossum pauxillum,,,,,,
Farm2,HLS,3,04/08/2014,Lasioglossum villosulum,,,,,,
Farm2,HLS,2,23/06/2014,Megachile centuncularis,,,,,,
Farm2,HLS,2,27/06/2013,Megachile versicolor,,,,,,
Farm2,HLS,1,01/06/2013,Nomada flava/panzeri,,,,,,
Farm2,HLS,1,18/05/2014,Nomada goodeniana,,,,,,
Farm2,HLS,1,18/05/2014,Nomada ruficornis,,,,,,
Farm2,HLS,2,23/06/2014,Osmia leaiana,,,,,,
Farm4,HLS,1,19/05/2014,Andrena cineraria,,,,,,
Farm4,HLS,3,11/08/2013,Andrena dorsata,,,,,,
Farm4,HLS,1,19/05/2014,Andrena flavipes,,,,,,
Farm4,HLS,1,19/05/2014,Andrena florea,,,,,,
Farm4,HLS,1,19/05/2014,Andrena haemorrhoa,,,,,,
Farm4,HLS,1,19/05/2014,Andrena haemorrhoa,,,,,,
Farm4,HLS,3,05/08/2014,Andrena minutula,,,,,,
Farm4,HLS,3,05/08/2014,Andrena minutuloides,,,,,,
Farm4,HLS,1,19/05/2014,Andrena nitida,,,,,,
Farm4,HLS,1,19/05/2014,Andrena nitida,,,,,,
Farm4,HLS,1,19/05/2014,Andrena semilaevis,,,,,,
Farm4,HLS,1,19/05/2014,Andrena wilkella,,,,,,
Farm4,HLS,2,29/06/2013,Anthophora furcata,,,,,,
Farm4,HLS,2,25/06/2014,Anthophora furcata,,,,,,
Farm4,HLS,3,05/08/2014,Anthophora furcata,,,,,,
Farm4,HLS,3,05/08/2014,Anthophora furcata,,,,,,
Farm4,HLS,1,01/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,3,11/08/2013,Bombus hortorum,,,,,,
Farm4,HLS,3,11/08/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hortorum,,,,,,
Farm4,HLS,2,25/06/2014,Bombus hortorum,,,,,,
Farm4,HLS,2,25/06/2014,Bombus hortorum,,,,,,
Farm4,HLS,2,25/06/2014,Bombus hortorum,,,,,,
Farm4,HLS,2,25/06/2014,Bombus hortorum,,,,,,
Farm4,HLS,3,05/08/2014,Bombus hortorum,,,,,,
Farm4,HLS,3,05/08/2014,Bombus hortorum,,,,,,
Farm4,HLS,3,05/08/2014,Bombus hortorum,,,,,,
Farm4,HLS,1,19/05/2014,Bombus hortorum,,,,,,
Farm4,HLS,1,19/05/2014,Bombus hortorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus hypnorum,,,,,,
Farm4,HLS,3,11/08/2013,Bombus hypnorum,,,,,,
Farm4,HLS,2,29/06/2013,Bombus lapidarius,,,,,,
Farm4,HLS,2,29/06/2013,Bombus lapidarius,,,,,,
Farm4,HLS,2,29/06/2013,Bombus lapidarius,,,,,,
Farm4,HLS,2,29/06/2013,Bombus lapidarius,,,,,,
Farm4,HLS,2,29/06/2013,Bombus lapidarius,,,,,,
Farm4,HLS,2,29/06/2013,Bombus lapidarius,,,,,,
Farm4,HLS,2,29/06/2013,Bombus lapidarius,,,,,,
Farm4,HLS,2,29/06/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,3,11/08/2013,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,2,25/06/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
Farm4,HLS,3,05/08/2014,Bombus lapidarius,,,,,,
