Farm,Type,Round,Year,Species,Nature,Abundance
Farm1,ELS,1,2013,Veronica persica,Wild,6
Farm1,ELS,1,2013,Vicia sativa agg.,Wild,55
Farm1,ELS,1,2013,Vicia sativa agg.,Wild,4
Farm1,ELS,1,2014,Anthriscus sylvestris,Wild,1650
Farm1,ELS,1,2014,Anthriscus sylvestris,Wild,250
Farm1,ELS,1,2014,Anthriscus sylvestris,Wild,68
Farm1,ELS,1,2014,Anthriscus sylvestris,Wild,380
Farm1,ELS,1,2014,Anthriscus sylvestris,Wild,35
Farm1,ELS,1,2014,Anthriscus sylvestris,Wild,260
Farm1,ELS,1,2014,Anthriscus sylvestris,Wild,1700
Farm1,ELS,1,2014,Anthriscus sylvestris,Wild,250
Farm1,ELS,1,2014,Geranium dissectum,Wild,68
Farm1,ELS,1,2014,Glechoma hederacea,Wild,6
Farm1,ELS,1,2014,Lamium album,Wild,230
Farm1,ELS,1,2014,Lamium album,Wild,47
Farm1,ELS,1,2014,Lamium purpureum,Wild,26
Farm1,ELS,1,2014,Leucanthemum vulgare,Sown,33
Farm1,ELS,1,2014,Oenanthe crocata,Wild,4
Farm1,ELS,1,2014,Oenanthe crocata,Wild,940
Farm1,ELS,1,2014,Ranunculus repens,Wild,7
Farm1,ELS,1,2014,Ranunculus repens,Wild,95
Farm1,ELS,1,2014,Ranunculus repens,Wild,125
Farm1,ELS,1,2014,Ranunculus repens,Wild,75
Farm1,ELS,1,2014,Ranunculus repens,Wild,30
Farm1,ELS,1,2014,Ranunculus repens,Wild,60
Farm1,ELS,1,2014,Ranunculus repens,Wild,115
Farm1,ELS,1,2014,Silene latifolia,Wild,15
Farm1,ELS,1,2014,Silene latifolia,Wild,17
Farm1,ELS,1,2014,Sinapis arvensis,Wild,695
Farm1,ELS,1,2014,Sinapis arvensis,Wild,15
Farm1,ELS,1,2014,Sinapis arvensis,Wild,17
Farm1,ELS,1,2014,Sinapis arvensis,Wild,221
Farm1,ELS,1,2014,Sisymbrium officinale,Wild,70
Farm1,ELS,1,2014,Stachys sylvatica,Wild,33
Farm1,ELS,1,2014,Stellaria holostea,Wild,742
Farm1,ELS,1,2014,Stellaria holostea,Wild,110
Farm1,ELS,1,2014,Taraxacum agg.,Wild,2
Farm1,ELS,1,2014,Taraxacum agg.,Wild,1
Farm1,ELS,1,2014,Trifolium dubium,Wild,50
Farm1,ELS,1,2014,Veronica persica,Wild,12
Farm1,ELS,1,2014,Vicia sativa agg.,Wild,190
Farm1,ELS,2,2013,Ballota nigra,Wild,16
Farm1,ELS,2,2013,Ballota nigra,Wild,390
Farm1,ELS,2,2013,Bryonia dioica,Wild,360
Farm1,ELS,2,2013,Calystegia silvatica,Wild,12
Farm1,ELS,2,2013,Chaerophyllum temulum,Wild,168
Farm1,ELS,2,2013,Chaerophyllum temulum,Wild,340
Farm1,ELS,2,2013,Cirsium arvense,Wild,1
Farm1,ELS,2,2013,Cirsium arvense,Wild,1
Farm1,ELS,2,2013,Cirsium arvense,Wild,21
Farm1,ELS,2,2013,Cirsium arvense,Wild,6
Farm1,ELS,2,2013,Cirsium vulgare,Wild,6
Farm1,ELS,2,2013,Conium maculatum,Wild,251
Farm1,ELS,2,2013,Conium maculatum,Wild,18
Farm1,ELS,2,2013,Convolvulus arvensis,Wild,19
Farm1,ELS,2,2013,Cornus sanguinea,Wild,90
Farm1,ELS,2,2013,Euphorbia helioscopia,Wild,6
Farm1,ELS,2,2013,Geranium dissectum,Wild,4
Farm1,ELS,2,2013,Heracleum sphondylium,Wild,8
Farm1,ELS,2,2013,Heracleum sphondylium,Wild,4
Farm1,ELS,2,2013,Heracleum sphondylium,Wild,2
Farm1,ELS,2,2013,Heracleum sphondylium,Wild,18
Farm1,ELS,2,2013,Hypochaeris radicata,Wild,13
Farm1,ELS,2,2013,Lamium album,Wild,4
Farm1,ELS,2,2013,Lamium purpureum,Wild,2
Farm1,ELS,2,2013,Lapsana communis,Wild,18
Farm1,ELS,2,2013,Lapsana communis,Wild,12
Farm1,ELS,2,2013,Leucanthemum vulgare,Sown,87
Farm1,ELS,2,2013,Leucanthemum vulgare,Sown,17
Farm1,ELS,2,2013,Malva sylvestris,Wild,34
Farm1,ELS,2,2013,Malva sylvestris,Wild,6
Farm1,ELS,2,2013,Malva sylvestris,Wild,86
Farm1,ELS,2,2013,Persicaria maculosa,Wild,6
Farm1,ELS,2,2013,Picris echioides,Wild,35
Farm1,ELS,2,2013,Picris echioides,Wild,1
Farm1,ELS,2,2013,Plantago lanceolata,Sown,45
Farm1,ELS,2,2013,Plantago lanceolata,Sown,7
Farm1,ELS,2,2013,Potentilla reptans,Wild,10
Farm1,ELS,2,2013,Ranunculus repens,Wild,12
Farm1,ELS,2,2013,Ranunculus repens,Wild,45
Farm1,ELS,2,2013,Ranunculus repens,Wild,240
Farm1,ELS,2,2013,Ranunculus repens,Wild,102
Farm1,ELS,2,2013,Ranunculus repens,Wild,210
Farm1,ELS,2,2013,Ranunculus repens,Wild,32
Farm1,ELS,2,2013,Rosa canina agg.,Wild,104
Farm1,ELS,2,2013,Rosa canina agg.,Wild,36
Farm1,ELS,2,2013,Rubus fruticosus agg.,Wild,130
Farm1,ELS,2,2013,Rubus fruticosus agg.,Wild,92
Farm1,ELS,2,2013,Rubus fruticosus agg.,Wild,4
Farm1,ELS,2,2013,Rubus fruticosus agg.,Wild,280
Farm1,ELS,2,2013,Rubus fruticosus agg.,Wild,12
Farm1,ELS,2,2013,Sambucus nigra,Wild,35
Farm1,ELS,2,2013,Sambucus nigra,Wild,70
Farm1,ELS,2,2013,Sambucus nigra,Wild,180
Farm1,ELS,2,2013,Senecio jacobea,Wild,4
Farm1,ELS,2,2013,Senecio jacobea,Wild,5
Farm1,ELS,2,2013,Sinapis arvensis,Wild,18
Farm1,ELS,2,2013,Sinapis arvensis,Wild,48
Farm1,ELS,2,2013,Sinapis arvensis,Wild,131
Farm1,ELS,2,2013,Sinapis arvensis,Wild,96
Farm1,ELS,2,2013,Sisymbrium officinale,Wild,30
Farm1,ELS,2,2013,Sisymbrium officinale,Wild,16
Farm1,ELS,2,2013,Sonchus arvensis,Sown,1
Farm1,ELS,2,2013,Sonchus asper,Wild,6
Farm1,ELS,2,2013,Stachys sylvatica,Wild,37
Farm1,ELS,2,2013,Stachys sylvatica,Wild,435
Farm1,ELS,2,2013,Stachys sylvatica,Wild,240
Farm1,ELS,2,2013,Trifolium dubium,Wild,16
Farm1,ELS,2,2013,Trifolium repens,Wild,15
Farm1,ELS,2,2013,Trifolium repens,Wild,23
Farm1,ELS,2,2013,Trifolium repens,Wild,12
Farm1,ELS,2,2013,Trifolium repens,Wild,200
Farm1,ELS,2,2013,Tripleurospermum inodorum,Wild,160
Farm1,ELS,2,2013,Tripleurospermum inodorum,Wild,22
Farm1,ELS,2,2013,Tripleurospermum inodorum,Wild,475
Farm1,ELS,2,2013,Tripleurospermum inodorum,Wild,240
Farm1,ELS,2,2013,Tripleurospermum inodorum,Wild,270
Farm1,ELS,2,2013,Tripleurospermum inodorum,Wild,480
Farm1,ELS,2,2013,Tripleurospermum inodorum,Wild,10
Farm1,ELS,2,2013,Tripleurospermum inodorum,Wild,140
Farm1,ELS,2,2013,Vicia sativa agg.,Wild,1
Farm1,ELS,2,2014,Achillea millefolium,Sown,2
Farm1,ELS,2,2014,Anthriscus sylvestris,Wild,25
Farm1,ELS,2,2014,Ballota nigra,Wild,390
Farm1,ELS,2,2014,Ballota nigra,Wild,185
Farm1,ELS,2,2014,Ballota nigra,Wild,37
Farm1,ELS,2,2014,Bryonia dioica,Wild,110
Farm1,ELS,2,2014,Bryonia dioica,Wild,487
Farm1,ELS,2,2014,Calystegia sepium,Wild,3
Farm1,ELS,2,2014,Chaerophyllum temulum,Wild,270
Farm1,ELS,2,2014,Cirsium arvense,Wild,22
Farm1,ELS,2,2014,Cirsium arvense,Wild,3
Farm1,ELS,2,2014,Cirsium arvense,Wild,15
Farm1,ELS,2,2014,Cirsium arvense,Wild,90
Farm1,ELS,2,2014,Cirsium arvense,Wild,2
Farm1,ELS,2,2014,Cirsium arvense,Wild,165
Farm1,ELS,2,2014,Cirsium arvense,Wild,112
Farm1,ELS,2,2014,Conium maculatum,Wild,30
Farm1,ELS,2,2014,Conium maculatum,Wild,30
Farm1,ELS,2,2014,Epilobium hirsutum,Wild,7
Farm1,ELS,2,2014,Helminthotheca echioides ,Wild,11
Farm1,ELS,2,2014,Helminthotheca echioides ,Wild,80
Farm1,ELS,2,2014,Helminthotheca echioides ,Wild,6
Farm1,ELS,2,2014,Heracleum sphondylium,Wild,19
Farm1,ELS,2,2014,Heracleum sphondylium,Wild,2
Farm1,ELS,2,2014,Heracleum sphondylium,Wild,3
Farm1,ELS,2,2014,Heracleum sphondylium,Wild,11
Farm1,ELS,2,2014,Heracleum sphondylium,Wild,3
Farm1,ELS,2,2014,Heracleum sphondylium,Wild,5
Farm1,ELS,2,2014,Heracleum sphondylium,Wild,35
Farm1,ELS,2,2014,Hypericum perforatum,Wild,15
Farm1,ELS,2,2014,Hypericum perforatum,Wild,40
Farm1,ELS,2,2014,Hypericum perforatum,Wild,20
Farm1,ELS,2,2014,Lamium album,Wild,12
Farm1,ELS,2,2014,Lapsana communis,Wild,199
Farm1,ELS,2,2014,Lapsana communis,Wild,20
Farm1,ELS,2,2014,Lapsana communis,Wild,25
Farm1,ELS,2,2014,Lathyrus pratensis,Sown,60
Farm1,ELS,2,2014,Leucanthemum vulgare,Sown,65
Farm1,ELS,2,2014,Malva sylvestris,Wild,10
Farm1,ELS,2,2014,Malva sylvestris,Wild,3
Farm1,ELS,2,2014,Malva sylvestris,Wild,600
Farm1,ELS,2,2014,Malva sylvestris,Wild,325
Farm1,ELS,2,2014,Papaver rhoeas,Wild,40
Farm1,ELS,2,2014,Ranunculus repens,Wild,265
Farm1,ELS,2,2014,Ranunculus repens,Wild,250
Farm1,ELS,2,2014,Ranunculus repens,Wild,65
Farm1,ELS,2,2014,Rosa canina agg.,Wild,210
Farm1,ELS,2,2014,Rubus fruticosus agg.,Wild,295
Farm1,ELS,2,2014,Rubus fruticosus agg.,Wild,1290
Farm1,ELS,2,2014,Rubus fruticosus agg.,Wild,250
Farm1,ELS,2,2014,Rubus fruticosus agg.,Wild,34
Farm1,ELS,2,2014,Rubus fruticosus agg.,Wild,17
Farm1,ELS,2,2014,Scrophularia auriculata,Wild,140
Farm1,ELS,2,2014,Scrophularia auriculata,Wild,60
Farm1,ELS,2,2014,Silene latifolia,Wild,3
Farm1,ELS,2,2014,Sinapis arvensis,Wild,6
Farm1,ELS,2,2014,Sinapis arvensis,Wild,540
Farm1,ELS,2,2014,Sinapis arvensis,Wild,70
Farm1,ELS,2,2014,Sisymbrium officinale,Wild,23
Farm1,ELS,2,2014,Solanum dulcamara,Wild,29
Farm1,ELS,2,2014,Sonchus arvensis,Sown,50
Farm1,ELS,2,2014,Stachys sylvatica,Wild,1600
Farm1,ELS,2,2014,Stachys sylvatica,Wild,62
Farm1,ELS,2,2014,Stachys sylvatica,Wild,154
Farm1,ELS,2,2014,Trifolium repens,Wild,35
Farm1,ELS,2,2014,Trifolium repens,Wild,7
Farm1,ELS,2,2014,Tripleurospermum inodorum,Wild,735
Farm1,ELS,2,2014,Tripleurospermum inodorum,Wild,28
Farm1,ELS,2,2014,Tripleurospermum inodorum,Wild,1500
Farm1,ELS,2,2014,Tripleurospermum inodorum,Wild,760
Farm1,ELS,2,2014,Tripleurospermum inodorum,Wild,780
Farm1,ELS,2,2014,Tripleurospermum inodorum,Wild,120
Farm1,ELS,2,2014,Tripleurospermum inodorum,Wild,2000
Farm1,ELS,2,2014,Vicia cracca,Wild,55
Farm1,ELS,2,2014,Vicia cracca,Wild,37
Farm1,ELS,2,2014,Vicia sativa agg.,Wild,31
Farm1,ELS,2,2014,Vicia tetrasperma,Wild,40
Farm1,ELS,3,2013,Achillea millefolium,Sown,15
Farm1,ELS,3,2013,Artemisia vulgaris,Wild,30
Farm1,ELS,3,2013,Ballota nigra,Wild,810
Farm1,ELS,3,2013,Ballota nigra,Wild,20
Farm1,ELS,3,2013,Centaurea nigra,Sown,153
Farm1,ELS,3,2013,Centaurea nigra,Sown,32
Farm1,ELS,3,2013,Centaurea nigra,Sown,12000
Farm1,ELS,3,2013,Centaurea nigra,Sown,1
Farm1,ELS,3,2013,Cirsium arvense,Wild,7
Farm1,ELS,3,2013,Cirsium arvense,Wild,388
Farm1,ELS,3,2013,Cirsium arvense,Wild,34
Farm1,ELS,3,2013,Cirsium arvense,Wild,3000
Farm1,ELS,3,2013,Cirsium arvense,Wild,10
Farm1,ELS,3,2013,Cirsium arvense,Wild,50
Farm1,ELS,3,2013,Cirsium arvense,Wild,70
Farm1,ELS,3,2013,Cirsium arvense,Wild,60
Farm1,ELS,3,2013,Cirsium vulgare,Wild,46
Farm1,ELS,3,2013,Cirsium vulgare,Wild,14
Farm1,ELS,3,2013,Cirsium vulgare,Wild,220
Farm1,ELS,3,2013,Cirsium vulgare,Wild,24
Farm1,ELS,3,2013,Cirsium vulgare,Wild,60
Farm1,ELS,3,2013,Cirsium vulgare,Wild,145
Farm1,ELS,3,2013,Cirsium vulgare,Wild,80
Farm1,ELS,3,2013,Convolvulus arvensis,Wild,87
Farm1,ELS,3,2013,Convolvulus arvensis,Wild,80
Farm1,ELS,3,2013,Convolvulus arvensis,Wild,130
Farm1,ELS,3,2013,Convolvulus arvensis,Wild,110
Farm1,ELS,3,2013,Convolvulus arvensis,Wild,600
Farm1,ELS,3,2013,Convolvulus arvensis,Wild,20
Farm1,ELS,3,2013,Convolvulus arvensis,Wild,264
Farm1,ELS,3,2013,Daucus carota,Sown,54
Farm1,ELS,3,2013,Dipsacus fullonum,Wild,1
Farm1,ELS,3,2013,Dipsacus fullonum,Wild,340
Farm1,ELS,3,2013,Galium mollugo,Wild,41
Farm1,ELS,3,2013,Galium mollugo,Wild,15
Farm1,ELS,3,2013,Helminthotheca echioides ,Wild,2
Farm1,ELS,3,2013,Helminthotheca echioides ,Wild,13
Farm1,ELS,3,2013,Helminthotheca echioides ,Wild,3
Farm1,ELS,3,2013,Helminthotheca echioides ,Wild,20
Farm1,ELS,3,2013,Helminthotheca echioides ,Wild,150
Farm1,ELS,3,2013,Heracleum sphondylium,Wild,65
Farm1,ELS,3,2013,Heracleum sphondylium,Wild,4
Farm1,ELS,3,2013,Heracleum sphondylium,Wild,12
Farm1,ELS,3,2013,Heracleum sphondylium,Wild,1
Farm1,ELS,3,2013,Heracleum sphondylium,Wild,2
Farm1,ELS,3,2013,Heracleum sphondylium,Wild,4
Farm1,ELS,3,2013,Hypericum perforatum,Wild,6
Farm1,ELS,3,2013,Hypericum perforatum,Wild,12
Farm1,ELS,3,2013,Hypericum perforatum,Wild,40
Farm1,ELS,3,2013,Malva sylvestris,Wild,5
Farm1,ELS,3,2013,Malva sylvestris,Wild,10
Farm1,ELS,3,2013,Malva sylvestris,Wild,30
Farm1,ELS,3,2013,Mentha spicata,Wild,40
Farm1,ELS,3,2013,Pulicaria dysenterica,Wild,53
Farm1,ELS,3,2013,Ranunculus repens,Wild,3
Farm1,ELS,3,2013,Rubus fruticosus agg.,Wild,60
Farm1,ELS,3,2013,Rubus fruticosus agg.,Wild,195
Farm1,ELS,3,2013,Rubus fruticosus agg.,Wild,8
Farm1,ELS,3,2013,Rubus fruticosus agg.,Wild,20
Farm1,ELS,3,2013,Rubus fruticosus agg.,Wild,47
Farm1,ELS,3,2013,Senecio jacobea,Wild,592
Farm1,ELS,3,2013,Senecio jacobea,Wild,840
Farm1,ELS,3,2013,Senecio jacobea,Wild,50
Farm1,ELS,3,2013,Sinapis arvensis,Wild,30
Farm1,ELS,3,2013,Sonchus arvensis,Sown,6
Farm1,ELS,3,2013,Sonchus asper,Wild,6
Farm1,ELS,3,2013,Tanacetum vulgare,Wild,450
Farm1,ELS,3,2013,Tripleurospermum inodorum,Wild,90
Farm1,ELS,3,2013,Tripleurospermum inodorum,Wild,80
Farm1,ELS,3,2013,Tripleurospermum inodorum,Wild,140
Farm1,ELS,3,2013,Tripleurospermum inodorum,Wild,550
Farm1,ELS,3,2013,Tripleurospermum inodorum,Wild,170
Farm1,ELS,3,2013,Tripleurospermum inodorum,Wild,600
Farm1,ELS,3,2014,Achillea millefolium,Sown,35
Farm1,ELS,3,2014,Achillea millefolium,Sown,32
Farm1,ELS,3,2014,Ballota nigra,Wild,195
Farm1,ELS,3,2014,Ballota nigra,Wild,410
Farm1,ELS,3,2014,Ballota nigra,Wild,217
Farm1,ELS,3,2014,Calystegia silvatica,Wild,3
Farm1,ELS,3,2014,Centaurea nigra,Sown,520
Farm1,ELS,3,2014,Centaurea nigra,Sown,3350
Farm1,ELS,3,2014,Centaurea nigra,Sown,60
Farm1,ELS,3,2014,Cirsium arvense,Wild,63
Farm1,ELS,3,2014,Cirsium arvense,Wild,80
Farm1,ELS,3,2014,Cirsium arvense,Wild,360
Farm1,ELS,3,2014,Cirsium arvense,Wild,10
Farm1,ELS,3,2014,Cirsium arvense,Wild,72
Farm1,ELS,3,2014,Cirsium arvense,Wild,196
Farm1,ELS,3,2014,Cirsium arvense,Wild,210
Farm1,ELS,3,2014,Cirsium vulgare,Wild,40
Farm1,ELS,3,2014,Cirsium vulgare,Wild,15
Farm1,ELS,3,2014,Cirsium vulgare,Wild,33
Farm1,ELS,3,2014,Cirsium vulgare,Wild,25
Farm1,ELS,3,2014,Cirsium vulgare,Wild,6
Farm1,ELS,3,2014,Convolvulus arvensis,Wild,33
Farm1,ELS,3,2014,Convolvulus arvensis,Wild,60
Farm1,ELS,3,2014,Convolvulus arvensis,Wild,18
Farm1,ELS,3,2014,Convolvulus arvensis,Wild,3
Farm1,ELS,3,2014,Convolvulus arvensis,Wild,200
Farm1,ELS,3,2014,Convolvulus arvensis,Wild,20
Farm1,ELS,3,2014,Convolvulus arvensis,Wild,250
Farm1,ELS,3,2014,Galium mollugo,Wild,130
Farm1,ELS,3,2014,Galium mollugo,Wild,220
Farm1,ELS,3,2014,Helminthotheca echioides ,Wild,50
Farm1,ELS,3,2014,Helminthotheca echioides ,Wild,19
Farm1,ELS,3,2014,Helminthotheca echioides ,Wild,155
Farm1,ELS,3,2014,Helminthotheca echioides ,Wild,30
Farm1,ELS,3,2014,Heracleum sphondylium,Wild,157
Farm1,ELS,3,2014,Heracleum sphondylium,Wild,2
Farm1,ELS,3,2014,Heracleum sphondylium,Wild,22
Farm1,ELS,3,2014,Heracleum sphondylium,Wild,7
Farm1,ELS,3,2014,Heracleum sphondylium,Wild,31
Farm1,ELS,3,2014,Hypochaeris radicata,Wild,3
Farm1,ELS,3,2014,Hypochaeris radicata,Wild,7
Farm1,ELS,3,2014,Malva sylvestris,Wild,10
Farm1,ELS,3,2014,Malva sylvestris,Wild,122
Farm1,ELS,3,2014,Malva sylvestris,Wild,15
Farm1,ELS,3,2014,Pulicaria dysenterica,Wild,45
Farm1,ELS,3,2014,Rubus fruticosus agg.,Wild,18
Farm1,ELS,3,2014,Rubus fruticosus agg.,Wild,3
Farm1,ELS,3,2014,Senecio jacobea,Wild,20
Farm1,ELS,3,2014,Senecio jacobea,Wild,7
Farm1,ELS,3,2014,Sison amomum,Wild,110
Farm1,ELS,3,2014,Tanacetum vulgare,Wild,200
Farm1,ELS,3,2014,Tripleurospermum inodorum,Wild,70
Farm1,ELS,3,2014,Tripleurospermum inodorum,Wild,370
Farm1,ELS,3,2014,Tripleurospermum inodorum,Wild,300
Farm1,ELS,3,2014,Tripleurospermum inodorum,Wild,1250
Farm1,ELS,3,2014,Tripleurospermum inodorum,Wild,15
Farm1,ELS,3,2014,Tripleurospermum inodorum,Wild,125
Farm1,ELS,3,2014,Vicia cracca,Wild,10
Farm2,HLS,1,2013,Anthriscus sylvestris,Wild,1500
Farm2,HLS,1,2013,Anthriscus sylvestris,Wild,18
Farm2,HLS,1,2013,Anthriscus sylvestris,Wild,400
Farm2,HLS,1,2013,Anthriscus sylvestris,Wild,8
Farm2,HLS,1,2013,Barbarea vulgaris,Wild,4
Farm2,HLS,1,2013,Cerastium fontanum,Wild,45
Farm2,HLS,1,2013,Cerastium fontanum,Wild,15
Farm2,HLS,1,2013,Geranium dissectum,Wild,15
Farm2,HLS,1,2013,Geranium dissectum,Wild,6
Farm2,HLS,1,2013,Glechoma hederacea,Wild,12
Farm2,HLS,1,2013,Lamium album,Wild,330
Farm2,HLS,1,2013,Leucanthemum vulgare,Sown,1
Farm2,HLS,1,2013,Leucanthemum vulgare,Sown,2
Farm2,HLS,1,2013,Leucanthemum vulgare,Sown,9
Farm2,HLS,1,2013,Leucanthemum vulgare,Sown,45
Farm2,HLS,1,2013,Lotus corniculatus,Sown,4
Farm2,HLS,1,2013,Lotus corniculatus,Sown,18
Farm2,HLS,1,2013,Lotus corniculatus,Sown,132
Farm2,HLS,1,2013,Lotus corniculatus,Sown,24
Farm2,HLS,1,2013,Lotus corniculatus,Sown,234
Farm2,HLS,1,2013,Lotus corniculatus,Sown,141
Farm2,HLS,1,2013,Lotus corniculatus,Sown,550
Farm2,HLS,1,2013,Myosotis arvensis,Wild,48
Farm2,HLS,1,2013,Plantago lanceolata,Sown,138
Farm2,HLS,1,2013,Plantago lanceolata,Sown,1
Farm2,HLS,1,2013,Plantago lanceolata,Sown,50
Farm2,HLS,1,2013,Plantago lanceolata,Sown,300
Farm2,HLS,1,2013,Plantago lanceolata,Sown,470
Farm2,HLS,1,2013,Plantago lanceolata,Sown,60
Farm2,HLS,1,2013,Plantago lanceolata,Sown,70
Farm2,HLS,1,2013,Plantago lanceolata,Sown,700
Farm2,HLS,1,2013,Ranunculus acris,Sown,30
Farm2,HLS,1,2013,Ranunculus repens,Wild,53
Farm2,HLS,1,2013,Ranunculus repens,Wild,54
Farm2,HLS,1,2013,Ranunculus repens,Wild,8
Farm2,HLS,1,2013,Ranunculus repens,Wild,10
Farm2,HLS,1,2013,Ranunculus repens,Wild,5600
Farm2,HLS,1,2013,Ranunculus repens,Wild,360
Farm2,HLS,1,2013,Ranunculus repens,Wild,79
Farm2,HLS,1,2013,Ranunculus repens,Wild,435
Farm2,HLS,1,2013,Ranunculus repens,Wild,200
Farm2,HLS,1,2013,Rumex acetosa,Sown,188
Farm2,HLS,1,2013,Rumex acetosa,Sown,60
Farm2,HLS,1,2013,Rumex acetosa,Sown,16
Farm2,HLS,1,2013,Rumex acetosa,Sown,6
Farm2,HLS,1,2013,Rumex acetosa,Sown,45
Farm2,HLS,1,2013,Silene latifolia,Wild,6
Farm2,HLS,1,2013,Sinapis arvensis,Wild,170
Farm2,HLS,1,2013,Sinapis arvensis,Wild,60
Farm2,HLS,1,2013,Stellaria holostea,Wild,9
Farm2,HLS,1,2013,Taraxacum agg.,Wild,2
Farm2,HLS,1,2013,Taraxacum agg.,Wild,3
Farm2,HLS,1,2013,Taraxacum agg.,Wild,49
Farm2,HLS,1,2013,Taraxacum agg.,Wild,32
Farm2,HLS,1,2013,Taraxacum agg.,Wild,50
Farm2,HLS,1,2013,Taraxacum agg.,Wild,30
Farm2,HLS,1,2013,Trifolium repens,Wild,18
Farm2,HLS,1,2013,Trifolium repens,Wild,38
Farm2,HLS,1,2013,Vicia sativa agg.,Wild,352
Farm2,HLS,1,2013,Vicia sativa agg.,Wild,260
Farm2,HLS,1,2013,Vicia sepium,Wild,5
Farm2,HLS,1,2013,Vicia sepium,Wild,4
Farm2,HLS,1,2014,Anthriscus sylvestris,Wild,13000
Farm2,HLS,1,2014,Anthriscus sylvestris,Wild,4000
Farm2,HLS,1,2014,Anthriscus sylvestris,Wild,20
Farm2,HLS,1,2014,Anthriscus sylvestris,Wild,190
Farm2,HLS,1,2014,Barbarea vulgaris,Wild,170
Farm2,HLS,1,2014,Cerastium fontanum,Wild,12
Farm2,HLS,1,2014,Cerastium fontanum,Wild,80
Farm2,HLS,1,2014,Glechoma hederacea,Wild,5
Farm2,HLS,1,2014,Glechoma hederacea,Wild,45
Farm2,HLS,1,2014,Glechoma hederacea,Wild,17
Farm2,HLS,1,2014,Lamium album,Wild,4
Farm2,HLS,1,2014,Lamium album,Wild,76
Farm2,HLS,1,2014,Lamium album,Wild,35
Farm2,HLS,1,2014,Lamium album,Wild,80
Farm2,HLS,1,2014,Leucanthemum vulgare,Sown,1
Farm2,HLS,1,2014,Leucanthemum vulgare,Sown,15
Farm2,HLS,1,2014,Leucanthemum vulgare,Sown,9
Farm2,HLS,1,2014,Lotus corniculatus,Sown,7
Farm2,HLS,1,2014,Lotus corniculatus,Sown,40
Farm2,HLS,1,2014,Lotus corniculatus,Sown,111
