Farm,Type,Round,Year,Species
Farm1,ELS,Three,2015,Ballota nigra
Farm1,ELS,One,2013,Barbarea vulgaris
Farm1,ELS,One,2013,Barbarea vulgaris
Farm1,ELS,Two,2015,Barbarea vulgaris
Farm1,ELS,Two,2013,Bryonia dioica
Farm1,ELS,Two,2014,Bryonia dioica
Farm1,ELS,Two,2014,Bryonia dioica
Farm1,ELS,Two,2015,Bryonia dioica
Farm1,ELS,Three,2015,Bryonia dioica
Farm1,ELS,Two,2014,Calystegia sepium
Farm1,ELS,Two,2015,Calystegia sepium
Farm1,ELS,Two,2013,Calystegia silvatica
Farm1,ELS,Three,2014,Calystegia silvatica
Farm1,ELS,Three,2015,Calystegia silvatica
Farm1,ELS,One,2015,Cardamine hirsuta
Farm1,ELS,One,2015,Cardamine pratensis
Farm1,ELS,Three,2013,Centaurea nigra
Farm1,ELS,Three,2013,Centaurea nigra
Farm1,ELS,Three,2013,Centaurea nigra
Farm1,ELS,Three,2013,Centaurea nigra
Farm1,ELS,Three,2014,Centaurea nigra
Farm1,ELS,Three,2014,Centaurea nigra
Farm1,ELS,Three,2014,Centaurea nigra
Farm1,ELS,Three,2015,Centaurea nigra
Farm1,ELS,One,2015,Cerastium fontanum
Farm1,ELS,Two,2013,Chaerophyllum temulum
Farm1,ELS,Two,2013,Chaerophyllum temulum
Farm1,ELS,Two,2014,Chaerophyllum temulum
Farm1,ELS,Two,2015,Chaerophyllum temulum
Farm1,ELS,Three,2015,Chaerophyllum temulum
Farm1,ELS,Two,2013,Cirsium arvense
Farm1,ELS,Two,2013,Cirsium arvense
Farm1,ELS,Two,2013,Cirsium arvense
Farm1,ELS,Two,2013,Cirsium arvense
Farm1,ELS,Three,2013,Cirsium arvense
Farm1,ELS,Three,2013,Cirsium arvense
Farm1,ELS,Three,2013,Cirsium arvense
Farm1,ELS,Three,2013,Cirsium arvense
Farm1,ELS,Three,2013,Cirsium arvense
Farm1,ELS,Three,2013,Cirsium arvense
Farm1,ELS,Three,2013,Cirsium arvense
Farm1,ELS,Three,2013,Cirsium arvense
Farm1,ELS,Two,2014,Cirsium arvense
Farm1,ELS,Two,2014,Cirsium arvense
Farm1,ELS,Two,2014,Cirsium arvense
Farm1,ELS,Two,2014,Cirsium arvense
Farm1,ELS,Two,2014,Cirsium arvense
Farm1,ELS,Two,2014,Cirsium arvense
Farm1,ELS,Two,2014,Cirsium arvense
Farm1,ELS,Three,2014,Cirsium arvense
Farm1,ELS,Three,2014,Cirsium arvense
Farm1,ELS,Three,2014,Cirsium arvense
Farm1,ELS,Three,2014,Cirsium arvense
Farm1,ELS,Three,2014,Cirsium arvense
Farm1,ELS,Three,2014,Cirsium arvense
Farm1,ELS,Three,2014,Cirsium arvense
Farm1,ELS,Three,2015,Cirsium arvense
Farm1,ELS,Two,2013,Cirsium vulgare
Farm1,ELS,Three,2013,Cirsium vulgare
Farm1,ELS,Three,2013,Cirsium vulgare
Farm1,ELS,Three,2013,Cirsium vulgare
Farm1,ELS,Three,2013,Cirsium vulgare
Farm1,ELS,Three,2013,Cirsium vulgare
Farm1,ELS,Three,2013,Cirsium vulgare
Farm1,ELS,Three,2013,Cirsium vulgare
Farm1,ELS,Three,2014,Cirsium vulgare
Farm1,ELS,Three,2014,Cirsium vulgare
Farm1,ELS,Three,2014,Cirsium vulgare
Farm1,ELS,Three,2014,Cirsium vulgare
Farm1,ELS,Three,2014,Cirsium vulgare
Farm1,ELS,Two,2013,Conium maculatum
Farm1,ELS,Two,2013,Conium maculatum
Farm1,ELS,Two,2014,Conium maculatum
Farm1,ELS,Two,2014,Conium maculatum
Farm1,ELS,Three,2015,Conium maculatum
Farm1,ELS,Two,2013,Convolvulus arvensis
Farm1,ELS,Three,2013,Convolvulus arvensis
Farm1,ELS,Three,2013,Convolvulus arvensis
Farm1,ELS,Three,2013,Convolvulus arvensis
Farm1,ELS,Three,2013,Convolvulus arvensis
Farm1,ELS,Three,2013,Convolvulus arvensis
Farm1,ELS,Three,2013,Convolvulus arvensis
Farm1,ELS,Three,2013,Convolvulus arvensis
Farm1,ELS,Three,2014,Convolvulus arvensis
Farm1,ELS,Three,2014,Convolvulus arvensis
Farm1,ELS,Three,2014,Convolvulus arvensis
Farm1,ELS,Three,2014,Convolvulus arvensis
Farm1,ELS,Three,2014,Convolvulus arvensis
Farm1,ELS,Three,2014,Convolvulus arvensis
Farm1,ELS,Three,2014,Convolvulus arvensis
Farm1,ELS,Two,2015,Convolvulus arvensis
Farm1,ELS,Three,2015,Convolvulus arvensis
Farm1,ELS,Two,2013,Cornus sanguinea
Farm1,ELS,One,2013,Crataegus monogyna
Farm1,ELS,One,2013,Crataegus monogyna
Farm1,ELS,One,2013,Crataegus monogyna
Farm1,ELS,One,2013,Crataegus monogyna
Farm1,ELS,One,2013,Crataegus monogyna
Farm1,ELS,One,2015,Crataegus monogyna
Farm1,ELS,Three,2013,Daucus carota
Farm1,ELS,Three,2013,Dipsacus fullonum
Farm1,ELS,Three,2013,Dipsacus fullonum
Farm1,ELS,Two,2014,Epilobium hirsutum
Farm1,ELS,Two,2013,Euphorbia helioscopia
Farm1,ELS,Two,2015,Euphorbia helioscopia
Farm1,ELS,Two,2015,Galium aparine
Farm1,ELS,Three,2013,Galium mollugo
Farm1,ELS,Three,2013,Galium mollugo
Farm1,ELS,Three,2014,Galium mollugo
Farm1,ELS,Three,2014,Galium mollugo
Farm1,ELS,One,2013,Geranium dissectum
Farm1,ELS,One,2013,Geranium dissectum
Farm1,ELS,One,2013,Geranium dissectum
Farm1,ELS,Two,2013,Geranium dissectum
Farm1,ELS,One,2014,Geranium dissectum
Farm1,ELS,Two,2015,Geranium dissectum
Farm1,ELS,One,2013,Glechoma hederacea
Farm1,ELS,One,2014,Glechoma hederacea
Farm1,ELS,One,2015,Glechoma hederacea
Farm1,ELS,Three,2013,Helminthotheca echioides
Farm1,ELS,Three,2013,Helminthotheca echioides
Farm1,ELS,Three,2013,Helminthotheca echioides
Farm1,ELS,Three,2013,Helminthotheca echioides
Farm1,ELS,Three,2013,Helminthotheca echioides
Farm1,ELS,Two,2014,Helminthotheca echioides
Farm1,ELS,Two,2014,Helminthotheca echioides
Farm1,ELS,Two,2014,Helminthotheca echioides
Farm1,ELS,Three,2014,Helminthotheca echioides
Farm1,ELS,Three,2014,Helminthotheca echioides
Farm1,ELS,Three,2014,Helminthotheca echioides
Farm1,ELS,Three,2014,Helminthotheca echioides
Farm1,ELS,Two,2015,Helminthotheca echioides
Farm1,ELS,Two,2013,Heracleum sphondylium
Farm1,ELS,Two,2013,Heracleum sphondylium
Farm1,ELS,Two,2013,Heracleum sphondylium
Farm1,ELS,Two,2013,Heracleum sphondylium
Farm1,ELS,Three,2013,Heracleum sphondylium
Farm1,ELS,Three,2013,Heracleum sphondylium
Farm1,ELS,Three,2013,Heracleum sphondylium
Farm1,ELS,Three,2013,Heracleum sphondylium
Farm1,ELS,Three,2013,Heracleum sphondylium
Farm1,ELS,Three,2013,Heracleum sphondylium
Farm1,ELS,Two,2014,Heracleum sphondylium
Farm1,ELS,Two,2014,Heracleum sphondylium
Farm1,ELS,Two,2014,Heracleum sphondylium
Farm1,ELS,Two,2014,Heracleum sphondylium
Farm1,ELS,Two,2014,Heracleum sphondylium
Farm1,ELS,Two,2014,Heracleum sphondylium
Farm1,ELS,Two,2014,Heracleum sphondylium
Farm1,ELS,Three,2014,Heracleum sphondylium
Farm1,ELS,Three,2014,Heracleum sphondylium
Farm1,ELS,Three,2014,Heracleum sphondylium
Farm1,ELS,Three,2014,Heracleum sphondylium
Farm1,ELS,Three,2014,Heracleum sphondylium
Farm1,ELS,Three,2015,Heracleum sphondylium
Farm1,ELS,One,2015,Hyacinthoides x massartiana
Farm1,ELS,Three,2013,Hypericum perforatum
Farm1,ELS,Three,2013,Hypericum perforatum
Farm1,ELS,Three,2013,Hypericum perforatum
Farm1,ELS,Two,2014,Hypericum perforatum
Farm1,ELS,Two,2014,Hypericum perforatum
Farm1,ELS,Two,2014,Hypericum perforatum
Farm1,ELS,Three,2015,Hypericum perforatum
Farm1,ELS,Two,2013,Hypochaeris radicata
Farm1,ELS,Three,2014,Hypochaeris radicata
Farm1,ELS,Three,2014,Hypochaeris radicata
Farm1,ELS,Two,2015,Hypochaeris radicata
Farm1,ELS,One,2013,Lamium album
Farm1,ELS,One,2013,Lamium album
Farm1,ELS,One,2013,Lamium album
Farm1,ELS,One,2013,Lamium album
Farm1,ELS,Two,2013,Lamium album
Farm1,ELS,One,2014,Lamium album
Farm1,ELS,One,2014,Lamium album
Farm1,ELS,Two,2014,Lamium album
Farm1,ELS,One,2015,Lamium album
Farm1,ELS,One,2015,Lamium album
Farm1,ELS,Two,2015,Lamium album
Farm1,ELS,Two,2013,Lamium purpureum
Farm1,ELS,One,2014,Lamium purpureum
Farm1,ELS,One,2015,Lamium purpureum
Farm1,ELS,One,2015,Lamium purpureum
Farm1,ELS,Two,2015,Lamium purpureum
Farm1,ELS,Two,2013,Lapsana communis
Farm1,ELS,Two,2013,Lapsana communis
Farm1,ELS,Two,2014,Lapsana communis
Farm1,ELS,Two,2014,Lapsana communis
Farm1,ELS,Two,2014,Lapsana communis
Farm1,ELS,Two,2015,Lapsana communis
Farm1,ELS,Two,2014,Lathyrus pratensis
Farm1,ELS,Two,2013,Leucanthemum vulgare
Farm1,ELS,Two,2013,Leucanthemum vulgare
Farm1,ELS,One,2014,Leucanthemum vulgare
Farm1,ELS,Two,2014,Leucanthemum vulgare
Farm1,ELS,Two,2015,Leucanthemum vulgare
Farm1,ELS,Three,2015,Leucanthemum vulgare
Farm1,ELS,One,2015,Malus domestica
Farm1,ELS,Two,2013,Malva sylvestris
Farm1,ELS,Two,2013,Malva sylvestris
Farm1,ELS,Two,2013,Malva sylvestris
Farm1,ELS,Three,2013,Malva sylvestris
Farm1,ELS,Three,2013,Malva sylvestris
Farm1,ELS,Three,2013,Malva sylvestris
Farm1,ELS,Two,2014,Malva sylvestris
Farm1,ELS,Two,2014,Malva sylvestris
Farm1,ELS,Two,2014,Malva sylvestris
Farm1,ELS,Two,2014,Malva sylvestris
Farm1,ELS,Three,2014,Malva sylvestris
Farm1,ELS,Three,2014,Malva sylvestris
Farm1,ELS,Three,2014,Malva sylvestris
Farm1,ELS,Two,2015,Malva sylvestris
Farm1,ELS,Two,2015,Malva sylvestris
Farm1,ELS,Three,2015,Malva sylvestris
Farm1,ELS,One,2013,Medicago arabica
Farm1,ELS,Three,2013,Mentha spicata
Farm1,ELS,One,2014,Oenanthe crocata
Farm1,ELS,One,2014,Oenanthe crocata
Farm1,ELS,Two,2015,Oenanthe crocata
Farm1,ELS,Two,2014,Papaver rhoeas
Farm1,ELS,Two,2015,Papaver rhoeas
Farm1,ELS,Three,2015,Papaver rhoeas
Farm1,ELS,Two,2013,Persicaria maculosa
Farm1,ELS,Two,2013,Picris echioides
Farm1,ELS,Two,2013,Picris echioides
Farm1,ELS,One,2013,Plantago lanceolata
Farm1,ELS,Two,2013,Plantago lanceolata
Farm1,ELS,Two,2013,Plantago lanceolata
Farm1,ELS,Two,2015,Plantago lanceolata
Farm1,ELS,Two,2013,Potentilla reptans
Farm1,ELS,Three,2015,Potentilla reptans
Farm1,ELS,One,2015,Prunus spinosa
Farm1,ELS,Three,2013,Pulicaria dysenterica
Farm1,ELS,Three,2014,Pulicaria dysenterica
Farm1,ELS,One,2015,Ranunculus ficaria
Farm1,ELS,One,2013,Ranunculus repens
Farm1,ELS,One,2013,Ranunculus repens
Farm1,ELS,One,2013,Ranunculus repens
Farm1,ELS,One,2013,Ranunculus repens
Farm1,ELS,One,2013,Ranunculus repens
Farm1,ELS,One,2013,Ranunculus repens
Farm1,ELS,One,2013,Ranunculus repens
Farm1,ELS,One,2013,Ranunculus repens
Farm1,ELS,Two,2013,Ranunculus repens
Farm1,ELS,Two,2013,Ranunculus repens
Farm1,ELS,Two,2013,Ranunculus repens
Farm1,ELS,Two,2013,Ranunculus repens
Farm1,ELS,Two,2013,Ranunculus repens
Farm1,ELS,Two,2013,Ranunculus repens
Farm1,ELS,Three,2013,Ranunculus repens
Farm1,ELS,One,2014,Ranunculus repens
Farm1,ELS,One,2014,Ranunculus repens
Farm1,ELS,One,2014,Ranunculus repens
Farm1,ELS,One,2014,Ranunculus repens
Farm1,ELS,One,2014,Ranunculus repens
Farm1,ELS,One,2014,Ranunculus repens
Farm1,ELS,One,2014,Ranunculus repens
Farm1,ELS,Two,2014,Ranunculus repens
Farm1,ELS,Two,2014,Ranunculus repens
Farm1,ELS,Two,2014,Ranunculus repens
Farm1,ELS,Two,2015,Ranunculus repens
Farm1,ELS,Three,2015,Ranunculus repens
Farm1,ELS,Two,2013,Rosa canina agg.
Farm1,ELS,Two,2013,Rosa canina agg.
Farm1,ELS,Two,2014,Rosa canina agg.
Farm1,ELS,Three,2015,Rosa canina agg.
Farm1,ELS,One,2013,Rubus fruticosus agg.
Farm1,ELS,Two,2013,Rubus fruticosus agg.
Farm1,ELS,Two,2013,Rubus fruticosus agg.
Farm1,ELS,Two,2013,Rubus fruticosus agg.
Farm1,ELS,Two,2013,Rubus fruticosus agg.
Farm1,ELS,Two,2013,Rubus fruticosus agg.
Farm1,ELS,Three,2013,Rubus fruticosus agg.
Farm1,ELS,Three,2013,Rubus fruticosus agg.
Farm1,ELS,Three,2013,Rubus fruticosus agg.
Farm1,ELS,Three,2013,Rubus fruticosus agg.
Farm1,ELS,Three,2013,Rubus fruticosus agg.
Farm1,ELS,Two,2014,Rubus fruticosus agg.
Farm1,ELS,Two,2014,Rubus fruticosus agg.
Farm1,ELS,Two,2014,Rubus fruticosus agg.
Farm1,ELS,Two,2014,Rubus fruticosus agg.
Farm1,ELS,Two,2014,Rubus fruticosus agg.
Farm1,ELS,Three,2014,Rubus fruticosus agg.
Farm1,ELS,Three,2014,Rubus fruticosus agg.
Farm1,ELS,Two,2015,Rubus fruticosus agg.
Farm1,ELS,One,2015,Salix viminalis
Farm1,ELS,Two,2013,Sambucus nigra
Farm1,ELS,Two,2013,Sambucus nigra
Farm1,ELS,Two,2013,Sambucus nigra
Farm1,ELS,Two,2014,Scrophularia auriculata
Farm1,ELS,Two,2014,Scrophularia auriculata
Farm1,ELS,Two,2013,Senecio jacobea
Farm1,ELS,Two,2013,Senecio jacobea
Farm1,ELS,Three,2013,Senecio jacobea
Farm1,ELS,Three,2013,Senecio jacobea
Farm1,ELS,Three,2013,Senecio jacobea
Farm1,ELS,Three,2014,Senecio jacobea
Farm1,ELS,Three,2014,Senecio jacobea
Farm1,ELS,One,2015,Senecio vulgaris
Farm1,ELS,Two,2015,Senecio vulgaris
Farm1,ELS,Three,2015,Senecio vulgaris
Farm1,ELS,One,2013,Silene dioica
Farm1,ELS,One,2013,Silene dioica
Farm1,ELS,One,2015,Silene dioica
Farm1,ELS,Two,2015,Silene dioica
Farm1,ELS,One,2013,Silene latifolia
Farm1,ELS,One,2013,Silene latifolia
Farm1,ELS,One,2013,Silene latifolia
Farm1,ELS,One,2014,Silene latifolia
Farm1,ELS,One,2014,Silene latifolia
Farm1,ELS,Two,2014,Silene latifolia
Farm1,ELS,Three,2015,Silene latifolia
Farm1,ELS,One,2013,Sinapis arvensis
Farm1,ELS,One,2013,Sinapis arvensis
Farm1,ELS,One,2013,Sinapis arvensis
Farm1,ELS,One,2013,Sinapis arvensis
Farm1,ELS,One,2013,Sinapis arvensis
Farm1,ELS,Two,2013,Sinapis arvensis
Farm1,ELS,Two,2013,Sinapis arvensis
Farm1,ELS,Two,2013,Sinapis arvensis
Farm1,ELS,Two,2013,Sinapis arvensis
Farm1,ELS,Three,2013,Sinapis arvensis
Farm1,ELS,One,2014,Sinapis arvensis
Farm1,ELS,One,2014,Sinapis arvensis
Farm1,ELS,One,2014,Sinapis arvensis
Farm1,ELS,One,2014,Sinapis arvensis
Farm1,ELS,Two,2014,Sinapis arvensis
Farm1,ELS,Two,2014,Sinapis arvensis
Farm1,ELS,Two,2014,Sinapis arvensis
Farm1,ELS,One,2015,Sinapis arvensis
Farm1,ELS,Two,2015,Sinapis arvensis
Farm1,ELS,Three,2015,Sinapis arvensis
Farm1,ELS,Three,2014,Sison amomum
Farm1,ELS,One,2013,Sisymbrium officinale
Farm1,ELS,Two,2013,Sisymbrium officinale
Farm1,ELS,Two,2013,Sisymbrium officinale
Farm1,ELS,One,2014,Sisymbrium officinale
Farm1,ELS,Two,2014,Sisymbrium officinale
Farm1,ELS,One,2015,Sisymbrium officinale
Farm1,ELS,Two,2015,Sisymbrium officinale
Farm1,ELS,Three,2015,Sisymbrium officinale
Farm1,ELS,One,2015,Smyrnium olusatrum
Farm1,ELS,Two,2014,Solanum dulcamara
Farm1,ELS,Two,2013,Sonchus arvensis
Farm1,ELS,Three,2013,Sonchus arvensis
Farm1,ELS,Two,2014,Sonchus arvensis
Farm1,ELS,Two,2013,Sonchus asper
Farm1,ELS,Three,2013,Sonchus asper
Farm1,ELS,One,2013,Sonchus oleraceus
Farm1,ELS,One,2013,Sonchus oleraceus
Farm1,ELS,Two,2013,Stachys sylvatica
Farm1,ELS,Two,2013,Stachys sylvatica
Farm1,ELS,Two,2013,Stachys sylvatica
Farm1,ELS,One,2014,Stachys sylvatica
Farm1,ELS,Two,2014,Stachys sylvatica
Farm1,ELS,Two,2014,Stachys sylvatica
Farm1,ELS,Two,2014,Stachys sylvatica
Farm1,ELS,One,2013,Stellaria holostea
Farm1,ELS,One,2013,Stellaria holostea
Farm1,ELS,One,2014,Stellaria holostea
Farm1,ELS,One,2014,Stellaria holostea
Farm1,ELS,One,2015,Stellaria holostea
Farm1,ELS,One,2015,Stellaria holostea
Farm1,ELS,Two,2015,Tamus communis
Farm1,ELS,Three,2013,Tanacetum vulgare
Farm1,ELS,Three,2014,Tanacetum vulgare
Farm1,ELS,One,2014,Taraxacum agg.
Farm1,ELS,One,2014,Taraxacum agg.
Farm1,ELS,One,2015,Taraxacum agg.
Farm1,ELS,One,2015,Taraxacum agg.
Farm1,ELS,Two,2013,Trifolium dubium
Farm1,ELS,One,2014,Trifolium dubium
Farm1,ELS,One,2013,Trifolium pratense
Farm1,ELS,Two,2015,Trifolium pratense
Farm1,ELS,One,2013,Trifolium repens
Farm1,ELS,Two,2013,Trifolium repens
Farm1,ELS,Two,2013,Trifolium repens
Farm1,ELS,Two,2013,Trifolium repens
Farm1,ELS,Two,2013,Trifolium repens
Farm1,ELS,Two,2014,Trifolium repens
Farm1,ELS,Two,2014,Trifolium repens
Farm1,ELS,Three,2015,Trifolium repens
Farm1,ELS,Two,2013,Tripleurospermum inodorum
Farm1,ELS,Two,2013,Tripleurospermum inodorum
Farm1,ELS,Two,2013,Tripleurospermum inodorum
Farm1,ELS,Two,2013,Tripleurospermum inodorum
Farm1,ELS,Two,2013,Tripleurospermum inodorum
Farm1,ELS,Two,2013,Tripleurospermum inodorum
Farm1,ELS,Two,2013,Tripleurospermum inodorum
Farm1,ELS,Two,2013,Tripleurospermum inodorum
Farm1,ELS,Three,2013,Tripleurospermum inodorum
Farm1,ELS,Three,2013,Tripleurospermum inodorum
Farm1,ELS,Three,2013,Tripleurospermum inodorum
Farm1,ELS,Three,2013,Tripleurospermum inodorum
Farm1,ELS,Three,2013,Tripleurospermum inodorum
Farm1,ELS,Three,2013,Tripleurospermum inodorum
Farm1,ELS,Two,2014,Tripleurospermum inodorum
Farm1,ELS,Two,2014,Tripleurospermum inodorum
Farm1,ELS,Two,2014,Tripleurospermum inodorum
Farm1,ELS,Two,2014,Tripleurospermum inodorum
Farm1,ELS,Two,2014,Tripleurospermum inodorum
Farm1,ELS,Two,2014,Tripleurospermum inodorum
Farm1,ELS,Two,2014,Tripleurospermum inodorum
Farm1,ELS,Three,2014,Tripleurospermum inodorum
Farm1,ELS,Three,2014,Tripleurospermum inodorum
Farm1,ELS,Three,2014,Tripleurospermum inodorum
Farm1,ELS,Three,2014,Tripleurospermum inodorum
Farm1,ELS,Three,2014,Tripleurospermum inodorum
Farm1,ELS,Three,2014,Tripleurospermum inodorum
Farm1,ELS,Two,2015,Tripleurospermum inodorum
Farm1,ELS,Three,2015,Tripleurospermum inodorum
Farm1,ELS,One,2013,Veronica persica
Farm1,ELS,One,2014,Veronica persica
Farm1,ELS,One,2015,Veronica persica
Farm1,ELS,Two,2015,Veronica persica
Farm1,ELS,Two,2014,Vicia cracca
Farm1,ELS,Two,2014,Vicia cracca
Farm1,ELS,Three,2014,Vicia cracca
Farm1,ELS,One,2013,Vicia sativa
Farm1,ELS,One,2013,Vicia sativa
Farm1,ELS,Two,2013,Vicia sativa
Farm1,ELS,One,2014,Vicia sativa
Farm1,ELS,Two,2014,Vicia sativa
Farm1,ELS,Two,2015,Vicia sativa
Farm1,ELS,Three,2015,Vicia sativa
Farm1,ELS,One,2015,Vicia sepium
Farm1,ELS,Two,2014,Vicia tetrasperma
Farm2,HLS,Two,2013,Achillea millefolium
Farm2,HLS,Two,2013,Achillea millefolium
Farm2,HLS,Two,2013,Achillea millefolium
Farm2,HLS,Three,2013,Achillea millefolium
Farm2,HLS,Three,2013,Achillea millefolium
Farm2,HLS,Three,2013,Achillea millefolium
Farm2,HLS,Three,2013,Achillea millefolium
Farm2,HLS,Three,2013,Achillea millefolium
Farm2,HLS,Three,2013,Achillea millefolium
Farm2,HLS,Two,2014,Achillea millefolium
Farm2,HLS,Two,2014,Achillea millefolium
Farm2,HLS,Two,2014,Achillea millefolium
Farm2,HLS,Two,2014,Achillea millefolium
Farm2,HLS,Three,2014,Achillea millefolium
Farm2,HLS,Three,2014,Achillea millefolium
Farm2,HLS,Three,2014,Achillea millefolium
Farm2,HLS,Three,2014,Achillea millefolium
Farm2,HLS,Three,2014,Achillea millefolium
Farm2,HLS,Three,2015,Achillea millefolium
Farm2,HLS,Four,2015,Achillea millefolium
Farm2,HLS,Two,2015,Alliaria petiolata
Farm2,HLS,Two,2013,Anagallis arvensis
Farm2,HLS,Two,2013,Anagallis arvensis
Farm2,HLS,Four,2015,Anagallis arvensis
Farm2,HLS,One,2013,Anthriscus sylvestris
Farm2,HLS,One,2013,Anthriscus sylvestris
Farm2,HLS,One,2013,Anthriscus sylvestris
Farm2,HLS,One,2013,Anthriscus sylvestris
Farm2,HLS,One,2014,Anthriscus sylvestris
Farm2,HLS,One,2014,Anthriscus sylvestris
Farm2,HLS,One,2014,Anthriscus sylvestris
Farm2,HLS,One,2014,Anthriscus sylvestris
Farm2,HLS,One,2015,Anthriscus sylvestris
Farm2,HLS,One,2015,Anthriscus sylvestris
Farm2,HLS,Two,2015,Anthriscus sylvestris
Farm2,HLS,Two,2015,Anthriscus sylvestris
Farm2,HLS,Two,2015,Anthriscus sylvestris
Farm2,HLS,Four,2015,Arctium minus
Farm2,HLS,Three,2015,Ballota nigra
Farm2,HLS,One,2013,Barbarea vulgaris
Farm2,HLS,One,2014,Barbarea vulgaris
Farm2,HLS,Two,2015,Barbarea vulgaris
Farm2,HLS,One,2015,Bellis perennis
Farm2,HLS,Two,2015,Bellis perennis
Farm2,HLS,Two,2014,Betonica officinalis
Farm2,HLS,Two,2015,Bryonia dioica
Farm2,HLS,Three,2015,Bryonia dioica
Farm2,HLS,Four,2015,Bryonia dioica
Farm2,HLS,Three,2014,Calystegia sepium
Farm2,HLS,Four,2015,Calystegia sepium
Farm2,HLS,Two,2015,Capsella bursa-pastoris
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Two,2013,Centaurea nigra
Farm2,HLS,Three,2013,Centaurea nigra
Farm2,HLS,Three,2013,Centaurea nigra
Farm2,HLS,Three,2013,Centaurea nigra
Farm2,HLS,Three,2013,Centaurea nigra
Farm2,HLS,Three,2013,Centaurea nigra
Farm2,HLS,Three,2013,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Two,2014,Centaurea nigra
Farm2,HLS,Three,2014,Centaurea nigra
Farm2,HLS,Three,2014,Centaurea nigra
Farm2,HLS,Three,2014,Centaurea nigra
Farm2,HLS,Three,2014,Centaurea nigra
Farm2,HLS,Three,2015,Centaurea nigra
Farm2,HLS,Three,2015,Centaurea nigra
Farm2,HLS,Three,2015,Centaurea nigra
Farm2,HLS,Four,2015,Centaurea nigra
Farm2,HLS,One,2013,Cerastium fontanum
Farm2,HLS,One,2013,Cerastium fontanum
Farm2,HLS,One,2014,Cerastium fontanum
Farm2,HLS,One,2014,Cerastium fontanum
Farm2,HLS,One,2015,Cerastium fontanum
Farm2,HLS,Two,2015,Cerastium fontanum
Farm2,HLS,Two,2015,Cerastium fontanum
Farm2,HLS,Three,2013,Cirsium arvense
Farm2,HLS,Three,2013,Cirsium arvense
Farm2,HLS,Three,2013,Cirsium arvense
Farm2,HLS,Three,2013,Cirsium arvense
Farm2,HLS,Three,2013,Cirsium arvense
Farm2,HLS,Three,2013,Cirsium arvense
