Farm,Type,Round,Date,Species,Number
Farm1,ELS,3,11/08/2013,Bombus lapidarius,1
Farm1,ELS,1,01/06/2013,Bombus lapidarius,1
Farm1,ELS,1,01/06/2013,Bombus lapidarius,1
Farm1,ELS,2,26/06/2014,Bombus lapidarius,1
Farm1,ELS,3,05/08/2014,Bombus lapidarius,1
Farm1,ELS,3,05/08/2014,Bombus lapidarius,1
Farm1,ELS,3,05/08/2014,Bombus lapidarius,2
Farm1,ELS,3,05/08/2014,Bombus lapidarius,1
Farm1,ELS,3,05/08/2014,Bombus lapidarius,1
Farm1,ELS,3,05/08/2014,Bombus lapidarius,1
Farm1,ELS,3,05/08/2014,Bombus lapidarius,22
Farm1,ELS,3,05/08/2014,Bombus lapidarius,1
Farm1,ELS,3,05/08/2014,Bombus lapidarius,1
Farm1,ELS,3,05/08/2014,Bombus lapidarius,1
Farm1,ELS,2,02/07/2013,Bombus lucorum,1
Farm1,ELS,1,01/06/2013,Bombus pascuorum,1
Farm1,ELS,1,01/06/2013,Bombus pascuorum,1
Farm1,ELS,2,02/07/2013,Bombus pascuorum,2
Farm1,ELS,2,02/07/2013,Bombus pascuorum,2
Farm1,ELS,2,02/07/2013,Bombus pascuorum,1
Farm1,ELS,2,02/07/2013,Bombus pascuorum,1
Farm1,ELS,2,02/07/2013,Bombus pascuorum,1
Farm1,ELS,3,11/08/2013,Bombus pascuorum,7
Farm1,ELS,3,11/08/2013,Bombus pascuorum,2
Farm1,ELS,3,11/08/2013,Bombus pascuorum,1
Farm1,ELS,3,11/08/2013,Bombus pascuorum,1
Farm1,ELS,3,11/08/2013,Bombus pascuorum,1
Farm1,ELS,3,11/08/2013,Bombus pascuorum,1
Farm1,ELS,3,11/08/2013,Bombus pascuorum,2
Farm1,ELS,2,26/06/2014,Bombus pascuorum,2
Farm1,ELS,2,26/06/2014,Bombus pascuorum,1
Farm1,ELS,3,05/08/2014,Bombus pascuorum,1
Farm1,ELS,3,05/08/2014,Bombus pascuorum,1
Farm1,ELS,2,02/07/2013,Bombus pratorum,1
Farm1,ELS,2,02/07/2013,Bombus pratorum,2
Farm1,ELS,2,02/07/2013,Bombus pratorum,1
Farm1,ELS,3,05/08/2014,Bombus rupestris,1
Farm1,ELS,1,01/06/2013,Bombus terrestris,1
Farm1,ELS,2,02/07/2013,Bombus terrestris,2
Farm1,ELS,2,02/07/2013,Bombus terrestris,1
Farm1,ELS,2,02/07/2013,Bombus terrestris,1
Farm1,ELS,2,02/07/2013,Bombus terrestris,1
Farm1,ELS,2,02/07/2013,Bombus terrestris,1
Farm1,ELS,2,02/07/2013,Bombus terrestris,1
Farm1,ELS,3,11/08/2013,Bombus terrestris,1
Farm1,ELS,3,11/08/2013,Bombus terrestris,14
Farm1,ELS,3,11/08/2013,Bombus terrestris,1
Farm1,ELS,3,11/08/2013,Bombus terrestris,3
Farm1,ELS,3,11/08/2013,Bombus terrestris,1
Farm1,ELS,3,11/08/2013,Bombus terrestris,2
Farm1,ELS,3,11/08/2013,Bombus terrestris,1
Farm1,ELS,3,11/08/2013,Bombus terrestris,1
Farm1,ELS,3,11/08/2013,Bombus terrestris,1
Farm1,ELS,1,19/05/2014,Bombus terrestris,1
Farm1,ELS,2,26/06/2014,Bombus terrestris,1
Farm1,ELS,2,26/06/2014,Bombus terrestris,1
Farm1,ELS,2,26/06/2014,Bombus terrestris,2
Farm1,ELS,2,26/06/2014,Bombus terrestris,1
Farm1,ELS,3,05/08/2014,Bombus terrestris,1
Farm1,ELS,3,05/08/2014,Bombus terrestris,4
Farm1,ELS,3,05/08/2014,Bombus terrestris,2
Farm1,ELS,3,05/08/2014,Bombus terrestris,1
Farm1,ELS,2,26/06/2014,Colletes daviesanus,1
Farm1,ELS,3,05/08/2014,Halictus tumulorum,3
Farm1,ELS,3,05/08/2014,Halictus tumulorum,1
Farm1,ELS,3,05/08/2014,Lasioglossum leucozonium,1
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,1
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,1
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,2
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,1
Farm1,ELS,2,26/06/2014,Lasioglossum malachurum,1
Farm1,ELS,3,05/08/2014,Lasioglossum malachurum,2
Farm1,ELS,3,05/08/2014,Lasioglossum morio,1
Farm1,ELS,3,05/08/2014,Lasioglossum pauxillum,1
Farm1,ELS,3,05/08/2014,Lasioglossum villosulum,1
Farm1,ELS,2,26/06/2014,Megachile centuncularis,1
Farm1,ELS,1,19/05/2014,Nomada flava/panzeri,2
Farm2,HLS,3,04/08/2014,Andrena flavipes,2
Farm2,HLS,3,04/08/2014,Andrena flavipes,1
Farm2,HLS,3,04/08/2014,Andrena flavipes,2
Farm2,HLS,1,18/05/2014,Andrena haemorrhoa,1
Farm2,HLS,1,18/05/2014,Andrena haemorrhoa,1
Farm2,HLS,3,04/08/2014,Andrena minutula,1
Farm2,HLS,1,01/06/2013,Andrena nitida,1
Farm2,HLS,2,23/06/2014,Andrena wilkella,1
Farm2,HLS,2,27/06/2013,Bombus barbutellus,1
Farm2,HLS,3,09/08/2013,Bombus barbutellus,1
Farm2,HLS,1,01/06/2013,Bombus hortorum,1
Farm2,HLS,2,27/06/2013,Bombus hortorum,1
Farm2,HLS,2,27/06/2013,Bombus hortorum,3
Farm2,HLS,2,23/06/2014,Bombus hortorum,1
Farm2,HLS,2,23/06/2014,Bombus hortorum,1
Farm2,HLS,3,04/08/2014,Bombus hortorum,1
Farm2,HLS,3,04/08/2014,Bombus hortorum,2
Farm2,HLS,1,18/05/2014,Bombus hortorum,1
Farm2,HLS,3,09/08/2013,Bombus hypnorum,1
Farm2,HLS,2,23/06/2014,Bombus hypnorum,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,2
Farm2,HLS,2,27/06/2013,Bombus lapidarius,3
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,4
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,5
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,18
Farm2,HLS,2,27/06/2013,Bombus lapidarius,5
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,3
Farm2,HLS,2,27/06/2013,Bombus lapidarius,1
Farm2,HLS,2,27/06/2013,Bombus lapidarius,2
Farm2,HLS,2,27/06/2013,Bombus lapidarius,4
Farm2,HLS,2,27/06/2013,Bombus lapidarius,2
Farm2,HLS,2,27/06/2013,Bombus lapidarius,2
Farm2,HLS,2,27/06/2013,Bombus lapidarius,3
Farm2,HLS,2,27/06/2013,Bombus lapidarius,38
Farm2,HLS,2,27/06/2013,Bombus lapidarius,12
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,5
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,5
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,5
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,3,09/08/2013,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,12
Farm2,HLS,2,23/06/2014,Bombus lapidarius,2
Farm2,HLS,2,23/06/2014,Bombus lapidarius,3
Farm2,HLS,2,23/06/2014,Bombus lapidarius,25
Farm2,HLS,2,23/06/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,21
Farm2,HLS,2,23/06/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,2
Farm2,HLS,2,23/06/2014,Bombus lapidarius,16
Farm2,HLS,2,23/06/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,14
Farm2,HLS,2,23/06/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,4
Farm2,HLS,2,23/06/2014,Bombus lapidarius,5
Farm2,HLS,2,23/06/2014,Bombus lapidarius,9
Farm2,HLS,2,23/06/2014,Bombus lapidarius,19
Farm2,HLS,2,23/06/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lapidarius,45
Farm2,HLS,2,23/06/2014,Bombus lapidarius,3
Farm2,HLS,2,23/06/2014,Bombus lapidarius,6
Farm2,HLS,3,04/08/2014,Bombus lapidarius,2
Farm2,HLS,3,04/08/2014,Bombus lapidarius,2
Farm2,HLS,3,04/08/2014,Bombus lapidarius,2
Farm2,HLS,3,04/08/2014,Bombus lapidarius,2
Farm2,HLS,3,04/08/2014,Bombus lapidarius,1
Farm2,HLS,3,04/08/2014,Bombus lapidarius,1
Farm2,HLS,3,04/08/2014,Bombus lapidarius,1
Farm2,HLS,2,23/06/2014,Bombus lucorum,1
Farm2,HLS,3,04/08/2014,Bombus lucorum,1
Farm2,HLS,1,01/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pascuorum,3
Farm2,HLS,2,27/06/2013,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,4
Farm2,HLS,2,27/06/2013,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,3
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,2,27/06/2013,Bombus pascuorum,1
Farm2,HLS,3,09/08/2013,Bombus pascuorum,1
Farm2,HLS,3,09/08/2013,Bombus pascuorum,4
Farm2,HLS,3,09/08/2013,Bombus pascuorum,1
Farm2,HLS,3,09/08/2013,Bombus pascuorum,1
Farm2,HLS,3,09/08/2013,Bombus pascuorum,1
Farm2,HLS,3,09/08/2013,Bombus pascuorum,1
Farm2,HLS,3,09/08/2013,Bombus pascuorum,1
Farm2,HLS,3,09/08/2013,Bombus pascuorum,3
Farm2,HLS,3,09/08/2013,Bombus pascuorum,1
Farm2,HLS,1,18/05/2014,Bombus pascuorum,1
Farm2,HLS,1,18/05/2014,Bombus pascuorum,1
Farm2,HLS,2,23/06/2014,Bombus pascuorum,1
Farm2,HLS,2,23/06/2014,Bombus pascuorum,3
Farm2,HLS,2,23/06/2014,Bombus pascuorum,1
Farm2,HLS,2,23/06/2014,Bombus pascuorum,1
Farm2,HLS,2,23/06/2014,Bombus pascuorum,1
Farm2,HLS,2,23/06/2014,Bombus pascuorum,4
Farm2,HLS,2,23/06/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,3
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,4
Farm2,HLS,3,04/08/2014,Bombus pascuorum,3
Farm2,HLS,3,04/08/2014,Bombus pascuorum,5
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,9
Farm2,HLS,3,04/08/2014,Bombus pascuorum,1
Farm2,HLS,3,04/08/2014,Bombus pascuorum,3
Farm2,HLS,3,04/08/2014,Bombus pascuorum,2
Farm2,HLS,2,27/06/2013,Bombus pratorum,1
Farm2,HLS,2,27/06/2013,Bombus pratorum,1
Farm2,HLS,2,27/06/2013,Bombus pratorum,1
Farm2,HLS,2,27/06/2013,Bombus pratorum,1
Farm2,HLS,2,27/06/2013,Bombus terrestris,1
Farm2,HLS,3,09/08/2013,Bombus terrestris,1
Farm2,HLS,3,09/08/2013,Bombus terrestris,1
Farm2,HLS,3,09/08/2013,Bombus terrestris,2
Farm2,HLS,3,09/08/2013,Bombus terrestris,3
Farm2,HLS,3,09/08/2013,Bombus terrestris,1
Farm2,HLS,3,09/08/2013,Bombus terrestris,1
Farm2,HLS,1,18/05/2014,Bombus terrestris,1
Farm2,HLS,1,18/05/2014,Bombus terrestris,1
Farm2,HLS,2,23/06/2014,Bombus terrestris,2
Farm2,HLS,2,23/06/2014,Bombus terrestris,1
Farm2,HLS,2,23/06/2014,Bombus terrestris,2
Farm2,HLS,2,23/06/2014,Bombus terrestris,2
Farm2,HLS,2,23/06/2014,Bombus terrestris,1
Farm2,HLS,2,23/06/2014,Bombus terrestris,1
Farm2,HLS,2,23/06/2014,Bombus terrestris,1
Farm2,HLS,2,23/06/2014,Bombus terrestris,1
Farm2,HLS,2,23/06/2014,Bombus terrestris,1
Farm2,HLS,2,23/06/2014,Bombus terrestris,3
Farm2,HLS,2,23/06/2014,Bombus terrestris,3
Farm2,HLS,2,23/06/2014,Bombus terrestris,1
Farm2,HLS,2,23/06/2014,Bombus terrestris,1
Farm2,HLS,3,04/08/2014,Bombus terrestris,1
Farm2,HLS,3,04/08/2014,Bombus terrestris,1
Farm2,HLS,3,04/08/2014,Bombus terrestris,1
Farm2,HLS,3,04/08/2014,Bombus terrestris,1
Farm2,HLS,3,04/08/2014,Bombus terrestris,1
Farm2,HLS,2,27/06/2013,Bombus vestalis,1
Farm2,HLS,2,27/06/2013,Bombus vestalis,1
Farm2,HLS,3,09/08/2013,Lasioglossum calceatum,1
Farm2,HLS,1,18/05/2014,Lasioglossum calceatum,1
Farm2,HLS,3,04/08/2014,Lasioglossum calceatum,1
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,6
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,3
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,5
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,5
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,2
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,1
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,1
Farm2,HLS,2,23/06/2014,Lasioglossum malachurum,1
Farm2,HLS,3,04/08/2014,Lasioglossum malachurum,1
Farm2,HLS,3,04/08/2014,Lasioglossum malachurum,1
Farm2,HLS,2,23/06/2014,Lasioglossum morio,1
Farm2,HLS,1,01/06/2013,Lasioglossum pauxillum,1
Farm2,HLS,3,04/08/2014,Lasioglossum villosulum,1
Farm2,HLS,2,23/06/2014,Megachile centuncularis,1
Farm2,HLS,2,27/06/2013,Megachile versicolor,1
Farm2,HLS,1,01/06/2013,Nomada flava/panzeri,1
Farm2,HLS,1,18/05/2014,Nomada goodeniana,1
Farm2,HLS,1,18/05/2014,Nomada ruficornis,1
Farm2,HLS,2,23/06/2014,Osmia leaiana,1
Farm4,HLS,1,19/05/2014,Andrena cineraria,1
Farm4,HLS,3,11/08/2013,Andrena dorsata,1
Farm4,HLS,1,19/05/2014,Andrena flavipes,1
Farm4,HLS,1,19/05/2014,Andrena florea,1
Farm4,HLS,1,19/05/2014,Andrena haemorrhoa,1
Farm4,HLS,1,19/05/2014,Andrena haemorrhoa,1
Farm4,HLS,3,05/08/2014,Andrena minutula,1
Farm4,HLS,3,05/08/2014,Andrena minutuloides,1
Farm4,HLS,1,19/05/2014,Andrena nitida,1
Farm4,HLS,1,19/05/2014,Andrena nitida,1
Farm4,HLS,1,19/05/2014,Andrena semilaevis,1
Farm4,HLS,1,19/05/2014,Andrena wilkella,1
Farm4,HLS,2,29/06/2013,Anthophora furcata,1
Farm4,HLS,2,25/06/2014,Anthophora furcata,1
Farm4,HLS,3,05/08/2014,Anthophora furcata,1
Farm4,HLS,3,05/08/2014,Anthophora furcata,1
Farm4,HLS,1,01/06/2013,Bombus hortorum,1
Farm4,HLS,3,11/08/2013,Bombus hortorum,1
Farm4,HLS,3,11/08/2013,Bombus hortorum,1
Farm4,HLS,2,29/06/2013,Bombus hortorum,2
Farm4,HLS,2,29/06/2013,Bombus hortorum,4
Farm4,HLS,2,29/06/2013,Bombus hortorum,1
Farm4,HLS,2,29/06/2013,Bombus hortorum,1
Farm4,HLS,2,29/06/2013,Bombus hortorum,2
Farm4,HLS,2,29/06/2013,Bombus hortorum,1
Farm4,HLS,2,29/06/2013,Bombus hortorum,1
Farm4,HLS,2,29/06/2013,Bombus hortorum,4
Farm4,HLS,2,29/06/2013,Bombus hortorum,14
Farm4,HLS,2,29/06/2013,Bombus hortorum,1
Farm4,HLS,2,29/06/2013,Bombus hortorum,7
Farm4,HLS,2,29/06/2013,Bombus hortorum,2
Farm4,HLS,2,25/06/2014,Bombus hortorum,1
Farm4,HLS,2,25/06/2014,Bombus hortorum,1
Farm4,HLS,2,25/06/2014,Bombus hortorum,3
Farm4,HLS,2,25/06/2014,Bombus hortorum,2
Farm4,HLS,3,05/08/2014,Bombus hortorum,2
Farm4,HLS,3,05/08/2014,Bombus hortorum,1
Farm4,HLS,3,05/08/2014,Bombus hortorum,7
Farm4,HLS,1,19/05/2014,Bombus hortorum,1
Farm4,HLS,1,19/05/2014,Bombus hortorum,1
Farm4,HLS,2,29/06/2013,Bombus hypnorum,1
Farm4,HLS,3,11/08/2013,Bombus hypnorum,2
Farm4,HLS,2,29/06/2013,Bombus lapidarius,2
Farm4,HLS,2,29/06/2013,Bombus lapidarius,1
Farm4,HLS,2,29/06/2013,Bombus lapidarius,3
Farm4,HLS,2,29/06/2013,Bombus lapidarius,1
Farm4,HLS,2,29/06/2013,Bombus lapidarius,3
Farm4,HLS,2,29/06/2013,Bombus lapidarius,3
Farm4,HLS,2,29/06/2013,Bombus lapidarius,2
Farm4,HLS,2,29/06/2013,Bombus lapidarius,2
Farm4,HLS,3,11/08/2013,Bombus lapidarius,1
Farm4,HLS,3,11/08/2013,Bombus lapidarius,1
Farm4,HLS,3,11/08/2013,Bombus lapidarius,2
Farm4,HLS,3,11/08/2013,Bombus lapidarius,1
Farm4,HLS,3,11/08/2013,Bombus lapidarius,1
Farm4,HLS,3,11/08/2013,Bombus lapidarius,1
Farm4,HLS,3,11/08/2013,Bombus lapidarius,9
Farm4,HLS,3,11/08/2013,Bombus lapidarius,6
Farm4,HLS,3,11/08/2013,Bombus lapidarius,10
Farm4,HLS,3,11/08/2013,Bombus lapidarius,1
Farm4,HLS,3,11/08/2013,Bombus lapidarius,54
Farm4,HLS,3,11/08/2013,Bombus lapidarius,51
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,2
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,4
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,7
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,4
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,2,25/06/2014,Bombus lapidarius,6
Farm4,HLS,2,25/06/2014,Bombus lapidarius,1
Farm4,HLS,3,05/08/2014,Bombus lapidarius,2
Farm4,HLS,3,05/08/2014,Bombus lapidarius,3
Farm4,HLS,3,05/08/2014,Bombus lapidarius,1
Farm4,HLS,3,05/08/2014,Bombus lapidarius,1
Farm4,HLS,3,05/08/2014,Bombus lapidarius,10
Farm4,HLS,3,05/08/2014,Bombus lapidarius,1
Farm4,HLS,3,05/08/2014,Bombus lapidarius,1
Farm4,HLS,3,05/08/2014,Bombus lapidarius,1
Farm4,HLS,3,05/08/2014,Bombus lapidarius,4
Farm4,HLS,3,05/08/2014,Bombus lapidarius,7
Farm4,HLS,3,05/08/2014,Bombus lapidarius,6
Farm4,HLS,3,05/08/2014,Bombus lapidarius,1
Farm4,HLS,3,05/08/2014,Bombus lapidarius,7
Farm4,HLS,3,05/08/2014,Bombus lapidarius,2
Farm4,HLS,3,05/08/2014,Bombus lapidarius,1
Farm4,HLS,3,05/08/2014,Bombus lapidarius,32
Farm4,HLS,3,05/08/2014,Bombus lapidarius,1
Farm4,HLS,1,19/05/2014,Bombus lapidarius,1
Farm4,HLS,2,29/06/2013,Bombus lucorum,1
Farm4,HLS,2,29/06/2013,Bombus lucorum,1
Farm4,HLS,3,11/08/2013,Bombus lucorum,1
Farm4,HLS,3,11/08/2013,Bombus lucorum,1
Farm4,HLS,3,11/08/2013,Bombus lucorum,2
Farm4,HLS,3,11/08/2013,Bombus lucorum,1
Farm4,HLS,3,11/08/2013,Bombus lucorum,1
Farm4,HLS,3,11/08/2013,Bombus lucorum,1
Farm4,HLS,3,05/08/2014,Bombus lucorum,4
Farm4,HLS,3,05/08/2014,Bombus lucorum,1
Farm4,HLS,3,05/08/2014,Bombus lucorum,2
Farm4,HLS,3,05/08/2014,Bombus lucorum,1
Farm4,HLS,2,25/06/2014,Bombus lucorum,1
Farm4,HLS,2,25/06/2014,Bombus lucorum,1
Farm4,HLS,1,01/06/2013,Bombus pascuorum,1
Farm4,HLS,1,01/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,2
Farm4,HLS,2,29/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,2
Farm4,HLS,2,29/06/2013,Bombus pascuorum,3
Farm4,HLS,2,29/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,2
Farm4,HLS,2,29/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,5
Farm4,HLS,2,29/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,1
Farm4,HLS,2,29/06/2013,Bombus pascuorum,2
Farm4,HLS,3,11/08/2013,Bombus pascuorum,10
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,2
Farm4,HLS,3,11/08/2013,Bombus pascuorum,3
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,4
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,3
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,1
Farm4,HLS,3,11/08/2013,Bombus pascuorum,3
Farm4,HLS,3,05/08/2014,Bombus pascuorum,1
Farm4,HLS,3,05/08/2014,Bombus pascuorum,4
Farm4,HLS,3,05/08/2014,Bombus pascuorum,1
Farm4,HLS,3,05/08/2014,Bombus pascuorum,3
